station_id,direction,mean,std
225,승차,297.9559360730594,260.03288958093646
225,하차,259.1527397260274,201.5871654550489
226,승차,166.11004566210045,200.17032361463097
226,하차,152.3667808219178,209.49911302314854
227,승차,932.4786529680365,720.2584719874521
227,하차,931.4432648401827,672.6982524857884
228,승차,195.04942922374428,174.42113338901234
228,하차,183.62762557077625,153.96402363796875
229,승차,83.1689497716895,137.41854864889413
229,하차,76.68070776255708,151.31926522964432
230,승차,196.7343607305936,172.04898079700817
230,하차,175.49543378995435,151.35664535338566
231,승차,175.83150684931508,152.33101800363025
231,하차,175.1035388127854,144.43145485817334
232,승차,143.31255707762557,127.20432596140351
232,하차,112.21974885844749,88.21284805960269
233,승차,211.45833333333334,177.81985288197225
233,하차,293.8441780821918,249.29826351703963
234,승차,245.48310502283104,242.24352662177014
234,하차,239.48036529680365,206.42669229651418
235,승차,425.77979452054797,337.7205704755048
235,하차,440.18812785388127,378.842344633755
236,승차,182.05068493150685,175.86918961844583
236,하차,172.65205479452055,142.02408403366073
237,승차,65.66358447488585,59.48615412552851
237,하차,55.837100456621,46.120236471258586
238,승차,101.85057077625571,87.1191589009103
238,하차,82.5837899543379,68.94480610010127
239,승차,45.4263698630137,46.518239727064774
239,하차,58.31107305936073,53.09955422141281
240,승차,177.34611872146118,142.1700268669005
240,하차,189.174200913242,152.3720105917094
241,승차,72.56666666666666,68.55239180394868
241,하차,64.54417808219178,57.23246123013552
242,승차,131.79771689497716,115.86744257424999
242,하차,128.15707762557076,99.9604853206975
243,승차,239.35216894977168,188.97993780346386
243,하차,236.22420091324202,166.0232115642364
302,승차,195.82842465753424,180.25189942238435
302,하차,186.16244292237442,160.67369222846034
303,승차,176.6277397260274,162.2294092162837
303,하차,189.52682648401827,160.3572453458883
304,승차,154.64166666666668,142.84619855482603
304,하차,157.412100456621,134.33322133014704
305,승차,400.98858447488584,312.00963844601216
305,하차,364.8400684931507,321.2403086098955
306,승차,245.47294520547945,226.88464024778006
306,하차,241.17237442922374,239.78433047537652
307,승차,298.310502283105,291.9649047174787
307,하차,304.5648401826484,307.06181983809205
308,승차,327.25045662100456,387.5840724693099
308,하차,330.07705479452056,408.8258118895843
309,승차,418.02077625570774,389.05091208646473
309,하차,393.9042237442922,345.9774128567783
310,승차,240.26940639269407,252.97749683677677
310,하차,259.10479452054796,240.84061024497223
311,승차,212.82728310502284,202.911882519265
311,하차,162.68995433789954,140.91190537973202
312,승차,173.21940639269405,142.39854340925476
312,하차,164.42340182648402,136.15921211088224
313,승차,495.8933789954338,404.79626456121724
313,하차,465.4376712328767,399.00048027456364
314,승차,136.29018264840184,107.47570362717946
314,하차,152.0285388127854,118.28887282454636
315,승차,118.6912100456621,165.8089985864329
315,하차,112.86324200913242,162.80320958523262
316,승차,41.51426940639269,59.512058850034386
316,하차,40.34143835616438,54.8519744205086
317,승차,342.95947488584477,349.1588902716575
317,하차,300.78972602739725,257.0886693996983
402,승차,94.2093607305936,70.52392940260334
402,하차,98.3175799086758,81.09494891864756
403,승차,162.45251141552512,149.17303123000016
403,하차,167.72431506849315,168.1565588767973
404,승차,68.18162100456621,61.70815826574342
404,하차,69.01050228310503,61.42354631378432
405,승차,135.01746575342466,108.08985340516213
405,하차,142.75924657534247,123.63753895118968
406,승차,125.46552511415526,114.30734812528908
406,하차,119.7216894977169,103.66363855105122
407,승차,94.27671232876712,78.97212519457757
407,하차,99.5195205479452,83.26447495395594
408,승차,72.91152968036529,86.75328120549862
408,하차,64.50490867579909,81.15948041625832
409,승차,76.2189497716895,69.1843168248718
409,하차,79.68150684931507,74.46099760862403
410,승차,6.526141552511415,8.121044628735321
410,하차,4.917579908675799,5.870141061233833
411,승차,108.16769406392694,93.2650167990997
411,하차,105.96974885844749,81.99900518684548
412,승차,101.9656392694064,85.91097744127991
412,하차,95.10011415525115,77.24252975383868
413,승차,23.971689497716895,22.502646592440676
413,하차,19.52865296803653,16.22163118885813
414,승차,79.1986301369863,68.1629314565278
414,하차,75.95833333333333,55.1481184312814
